Date,PE_median
2009-06-30,244.962253521
2009-09-30,183.763894472
2009-12-31,65.1060532151
2010-03-31,187.513913043
2010-06-30,270.228405797
2010-09-30,252.343831169
2010-12-31,68.7344357638
2011-03-31,388.562587064
2011-06-30,461.677591623
2011-09-30,1525.00833333
2011-12-31,138.69207607
2012-03-31,638.411538461
2012-06-30,14226.7
2012-09-30,-406.980821168
2012-12-31,-2880.45538462
2013-03-31,1471.50884146
2013-06-30,-17472.4157143
2013-09-30,-3318.65682927
2013-12-31,641.955054744
2014-03-31,1529.065
2014-06-30,-1139.67333333
2014-09-30,-348.553180778
2014-12-31,-598.759854772
2015-03-31,-3062.43754385
2015-06-30,2177.33434782
2015-09-30,3091.67405063
2015-12-31,519.676006712
