Date,PE_median
2009-06-30,68.1044485584
2009-09-30,82.522758738
2009-12-31,12.659680915
2010-03-31,78.3154022477
2010-06-30,69.7349514547
2010-09-30,70.3773454433
2010-12-31,21.7178380875
2011-03-31,86.9348268941
2011-06-30,139.567158892
2011-09-30,79.7405861433
2011-12-31,12.2020361171
2012-03-31,81.582140351
2012-06-30,75.595549133
2012-09-30,101.981072027
2012-12-31,25.1360367957
2013-03-31,104.097341211
2013-06-30,107.98834375
2013-09-30,99.7168795356
2013-12-31,23.607797619
2014-03-31,-31.3208082546
2014-06-30,92.6160502959
2014-09-30,98.1235364042
2014-12-31,1460.15217391
2015-03-31,112.147284345
2015-06-30,876.156626506
2015-09-30,59.4897959183
2015-12-31,20.0474202899
