Date,PE_median
2010-06-30,116.969893963
2010-09-30,73.8525488799
2010-12-31,20.8626151603
2011-03-31,78.1978911641
2011-06-30,79.3574436126
2011-09-30,65.3304654661
2011-12-31,16.2313859797
2012-03-31,79.4387251579
2012-06-30,51.7006119944
2012-09-30,141.763859415
2012-12-31,20.1863816351
2013-03-31,82.6010258941
2013-06-30,69.3111703091
2013-09-30,64.3647971874
2013-12-31,18.4130593134
2014-03-31,77.9739587669
2014-06-30,75.6464375297
2014-09-30,81.3806020908
2014-12-31,20.1236905932
2015-03-31,104.88756611
2015-06-30,77.8225178121
2015-09-30,71.8644890134
2015-12-31,22.4421758516
