Date,PE_median
2009-06-30,42.467063025
2009-09-30,44.0220991071
2009-12-31,13.8891663834
2010-03-31,45.3283298446
2010-06-30,43.7128360722
2010-09-30,35.4876424539
2010-12-31,11.2260174659
2011-03-31,54.6022713248
2011-06-30,33.8971789314
2011-09-30,31.9404530239
2011-12-31,9.96821584187
2012-03-31,34.5929784177
2012-06-30,35.3278056077
2012-09-30,50.4298014551
2012-12-31,10.6154519359
2013-03-31,38.808204055
2013-06-30,44.7431774873
2013-09-30,49.8911962365
2013-12-31,13.3914491612
2014-03-31,56.8027093623
2014-06-30,53.4340373638
2014-09-30,69.3646031001
2014-12-31,12.4928491435
2015-03-31,50.5084801941
2015-06-30,52.8721145293
2015-09-30,52.8156816677
2015-12-31,15.51732276
