Date,PE_median
2011-06-30,-48.7573623785
2011-09-30,-39.4002140648
2011-12-31,-12.8726134312
2011-12-31,-12.8726134312
2012-03-31,-39.8786661356
2012-06-30,-30.2845899558
2012-09-30,-27.869265758
2012-12-31,-9.63092804714
2013-03-31,386.139635811
2013-06-30,-379.671731396
2013-09-30,-523.984714734
2013-12-31,-234.759966336
2014-03-31,-544.195647958
2014-06-30,-417.19943119
2014-09-30,-435.680502446
2014-12-31,-98.826604334
2015-03-31,-165.323896986
2015-06-30,-170.78359754
2015-09-30,-136.599574735
