Date,PEG
2009-09-30,1402.14570367
2009-12-31,40.3919228129
2010-03-31,-139.44580095
2010-06-30,-1336.98472131
2010-09-30,4694.02967547
2010-12-31,32.6172698332
2011-03-31,-188.352727973
2011-06-30,-19053.0317245
2011-09-30,-5455.75399109
2011-12-31,120.599188068
2012-03-31,-581.297959299
2012-06-30,-51122.9728365
2012-09-30,632.751063424
2012-12-31,-5497.68168246
2013-03-31,5540.79739568
2013-06-30,89154.0346982
2013-09-30,44997.6450155
2013-12-31,886.775814762
2014-03-31,-4345.1193524
2014-06-30,2291.10101705
2014-09-30,523.056777342
2014-12-31,-1407.0898966
2015-03-31,-7669.13272787
2015-06-30,6762.28338445
2015-09-30,-109531.627782
2015-12-31,463.661995823
