Date,PEG
2010-09-30,1337.97313219
2010-12-31,45.21311238
2011-03-31,-162.841180172
2011-06-30,6257.49781509
2011-09-30,1618.67987682
2011-12-31,26.5034040518
2012-03-31,-121.134476602
2012-06-30,512.241245039
2012-09-30,-876.900012296
2012-12-31,29.7710307797
2013-03-31,-141.096261022
2013-06-30,944.95066027
2013-09-30,2385.56203457
2013-12-31,26.7621681018
2014-03-31,-100.681495474
2014-06-30,9962.56713675
2014-09-30,-7371.04288016
2014-12-31,29.9856948452
2015-03-31,-154.168394205
2015-06-30,933.887858346
2015-09-30,2909.78082671
2015-12-31,28.297219551
