symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
AMZN,2009-06-30,False,Q2,2009,10-Q,4651000000.0,159000000.0,142000000.0,0.33,0.32,0.0,7675000000.0,5304000000.0,3636000000.0,1936000000.0,3256000000.0,468000000.0,-279000000.0,-3000000.0
AMZN,2009-09-30,False,Q3,2009,10-Q,5449000000.0,251000000.0,199000000.0,0.46,0.45,0.0,8972000000.0,6369000000.0,4537000000.0,2514000000.0,3585000000.0,799000000.0,-302000000.0,64000000.0
AMZN,2009-12-31,False,FY,2009,10-K,24509000000.0,1129000000.0,902000000.0,2.08,2.04,0.0,13813000000.0,9797000000.0,7364000000.0,3444000000.0,5257000000.0,3293000000.0,-2337000000.0,-280000000.0
AMZN,2010-03-31,False,Q1,2010,10-Q,7131000000.0,394000000.0,299000000.0,0.67,0.66,0.0,12042000000.0,7964000000.0,5193000000.0,1844000000.0,5618000000.0,-1098000000.0,-542000000.0,87000000.0
AMZN,2010-06-30,False,Q2,2010,10-Q,6566000000.0,270000000.0,207000000.0,0.46,0.45,0.0,12397000000.0,8118000000.0,5250000000.0,1629000000.0,5857000000.0,250000000.0,-475000000.0,43000000.0
AMZN,2010-09-30,False,Q3,2010,10-Q,7560000000.0,268000000.0,231000000.0,0.51,0.51,0.0,14162000000.0,9559000000.0,6375000000.0,1539000000.0,6397000000.0,855000000.0,-1128000000.0,93000000.0
AMZN,2010-12-31,False,FY,2010,10-K,34204000000.0,1406000000.0,1152000000.0,2.58,2.53,0.0,18797000000.0,13747000000.0,10372000000.0,3777000000.0,6864000000.0,3495000000.0,-3360000000.0,181000000.0
AMZN,2011-03-31,False,Q1,2011,10-Q,9857000000.0,322000000.0,201000000.0,0.44,0.44,0.0,16882000000.0,11288000000.0,7730000000.0,2641000000.0,7347000000.0,-1586000000.0,390000000.0,24000000.0
AMZN,2011-06-30,False,Q2,2011,10-Q,9913000000.0,201000000.0,191000000.0,0.42,0.41,0.0,17941000000.0,11279000000.0,8045000000.0,2047000000.0,7765000000.0,423000000.0,-951000000.0,-91000000.0
AMZN,2011-09-30,False,Q3,2011,10-Q,10876000000.0,79000000.0,63000000.0,0.14,0.14,0.0,19054000000.0,11904000000.0,8978000000.0,2823000000.0,7766000000.0,797000000.0,100000000.0,-82000000.0
