symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
EBAY,2009-06-30,False,Q2,2009,10-Q,2097992000.0,411689000.0,327342000.0,0.25,0.25,0.0,16566289000.0,6249900000.0,3730364000.0,2573617000.0,11921572000.0,1399245000.0,-1428184000.0,-583661000.0
EBAY,2009-09-30,False,Q3,2009,10-Q,2237852000.0,442941000.0,349736000.0,0.27,0.27,0.0,17356372000.0,6473587000.0,3646678000.0,2557859000.0,12751167000.0,2137486000.0,-2031583000.0,-782043000.0
EBAY,2009-12-31,False,FY,2009,10-K,8727362000.0,1456766000.0,2389097000.0,1.85,1.83,0.0,18408320000.0,8460208000.0,3641968000.0,3999818000.0,13787648000.0,2908086000.0,-1149383000.0,-945656000.0
EBAY,2010-03-31,False,Q1,2010,10-Q,2196057000.0,488609000.0,397653000.0,0.31,0.3,0.0,18690178000.0,8277438000.0,3587011000.0,3593003000.0,14125109000.0,418262000.0,-700969000.0,-7390000.0
EBAY,2010-06-30,False,Q2,2010,10-Q,2215379000.0,484565000.0,412192000.0,0.31,0.31,0.0,18747584000.0,8675313000.0,3564261000.0,4037442000.0,14169291000.0,1144641000.0,-835635000.0,50363000.0
EBAY,2010-09-30,False,Q3,2010,10-Q,2249488000.0,490176000.0,431929000.0,0.33,0.33,0.0,19948062000.0,9454528000.0,3808909000.0,4180907000.0,15033952000.0,1891755000.0,-1390732000.0,-259086000.0
EBAY,2010-12-31,False,FY,2010,10-K,9156274000.0,2053571000.0,1800961000.0,1.38,1.36,0.0,22003762000.0,11065338000.0,4516514000.0,5577411000.0,15302179000.0,2745760000.0,-2282470000.0,1234406000.0
EBAY,2011-03-31,False,Q1,2011,10-Q,2545609000.0,564654000.0,475865000.0,0.37,0.36,0.0,23004860000.0,11514828000.0,4763549000.0,5464582000.0,15944413000.0,699610000.0,-596573000.0,-338592000.0
EBAY,2011-06-30,False,Q2,2011,10-Q,2760274000.0,518899000.0,283407000.0,0.22,0.22,0.0,24833954000.0,9861092000.0,6143272000.0,3265826000.0,16209882000.0,1482346000.0,-3805635000.0,-166340000.0
EBAY,2011-09-30,False,Q3,2011,10-Q,2965761000.0,536821000.0,490503000.0,0.38,0.37,0.0,24900537000.0,9762345000.0,6145152000.0,2998950000.0,16165326000.0,2291414000.0,-4768895000.0,-190485000.0
EBAY,2011-12-31,False,FY,2011,10-K,11651654000.0,2373489000.0,3229387000.0,2.5,2.46,0.0,27320218000.0,12661454000.0,6734204000.0,4691101000.0,17929879000.0,3273674000.0,-3306862000.0,-838496000.0
EBAY,2012-03-31,False,Q1,2012,10-Q,3277000000.0,653000000.0,570000000.0,0.44,0.44,0.0,28207000000.0,13089000000.0,6965000000.0,4164000000.0,18709000000.0,531000000.0,-893000000.0,-219000000.0
EBAY,2012-06-30,False,Q2,2012,10-Q,3398000000.0,695000000.0,692000000.0,0.54,0.53,0.0,28258000000.0,13278000000.0,6800000000.0,4038000000.0,18912000000.0,1299000000.0,-1474000000.0,-434000000.0
EBAY,2012-09-30,False,Q3,2012,10-Q,3404000000.0,667000000.0,597000000.0,0.46,0.45,0.0,32502000000.0,17410000000.0,7061000000.0,7331000000.0,19913000000.0,2453000000.0,-1904000000.0,2082000000.0
EBAY,2012-12-31,False,FY,2012,10-K,14072000000.0,2888000000.0,2609000000.0,2.02,1.99,0.0,37074000000.0,21398000000.0,10924000000.0,6817000000.0,20865000000.0,3838000000.0,-3763000000.0,1951000000.0
EBAY,2013-03-31,False,Q1,2013,10-Q,3748000000.0,800000000.0,677000000.0,0.52,0.51,0.0,38000000000.0,22336000000.0,11720000000.0,6530000000.0,21112000000.0,937000000.0,-719000000.0,-411000000.0
EBAY,2013-06-30,False,Q2,2013,10-Q,3877000000.0,750000000.0,640000000.0,0.49,0.49,0.0,38550000000.0,23446000000.0,11670000000.0,6855000000.0,21651000000.0,1948000000.0,-1090000000.0,-763000000.0
EBAY,2013-09-30,False,Q3,2013,10-Q,3892000000.0,799000000.0,689000000.0,0.53,0.53,0.0,40067000000.0,23476000000.0,12028000000.0,5280000000.0,22767000000.0,3282000000.0,-3994000000.0,-854000000.0
EBAY,2013-12-31,False,FY,2013,10-K,16047000000.0,3371000000.0,2856000000.0,2.2,2.18,0.0,41488000000.0,23283000000.0,12639000000.0,4494000000.0,23647000000.0,4995000000.0,-6012000000.0,-1354000000.0
