symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
F,2009-06-30,False,Q2,2009,10-Q,23989000000.0,,2261000000.0,0.75,0.69,0.0,2.0019e+11,,,24011000000.0,-9418000000.0,9779000000.0,5702000000.0,-13191000000.0
F,2009-09-30,False,Q3,2009,10-Q,27870000000.0,,997000000.0,0.31,0.29,0.0,2.03106e+11,40867000000.0,46156000000.0,25798000000.0,-7270000000.0,15630000000.0,2796000000.0,-14571000000.0
F,2009-12-31,False,FY,2009,10-K,1.05893e+11,,2717000000.0,0.91,0.86,0.0,1.9485e+11,40560000000.0,37037000000.0,21441000000.0,-6515000000.0,16042000000.0,6469000000.0,-22959000000.0
F,2010-03-31,False,Q1,2010,10-Q,28894000000.0,,2085000000.0,0.62,0.5,0.0,1.91968e+11,41040000000.0,39978000000.0,24356000000.0,-5437000000.0,2683000000.0,1167000000.0,-112000000.0
F,2010-06-30,False,Q2,2010,10-Q,32564000000.0,,2599000000.0,0.76,0.61,0.0,1.7975e+11,36611000000.0,36547000000.0,18322000000.0,-3541000000.0,6457000000.0,2844000000.0,-11173000000.0
F,2010-09-30,False,Q2,2010,10-Q,27592000000.0,,1687000000.0,0.49,0.43,0.0,1.77078e+11,39600000000.0,37626000000.0,17992000000.0,-1740000000.0,10238000000.0,620000000.0,-13570000000.0
F,2010-12-31,False,FY,2010,10-K,1.1928e+11,,6561000000.0,1.9,1.66,0.0,1.64687e+11,34368000000.0,34516000000.0,14805000000.0,-642000000.0,11477000000.0,6908000000.0,-24421000000.0
F,2011-03-31,False,Q1,2011,10-Q,31038000000.0,,2551000000.0,0.68,0.61,0.0,1.67391e+11,37010000000.0,36739000000.0,21318000000.0,2465000000.0,2497000000.0,6894000000.0,-3282000000.0
F,2011-06-30,False,Q2,2011,10-Q,33476000000.0,,2398000000.0,0.63,0.59,0.0,1.68086e+11,38076000000.0,36621000000.0,17472000000.0,5350000000.0,6226000000.0,2823000000.0,-7005000000.0
F,2011-09-30,False,Q3,2011,10-Q,31043000000.0,,1649000000.0,0.43,0.41,0.0,1.6274e+11,36236000000.0,34382000000.0,16460000000.0,6026000000.0,10019000000.0,991000000.0,-9214000000.0
F,2011-12-31,False,FY,2011,10-K,1.28168e+11,,20213000000.0,5.33,4.94,0.05,1.78348e+11,38147000000.0,32825000000.0,17148000000.0,15071000000.0,9784000000.0,-3041000000.0,-4241000000.0
F,2012-03-31,False,Q1,2012,10-Q,30525000000.0,,1396000000.0,0.37,0.35,0.05,1.82075e+11,40582000000.0,34885000000.0,15244000000.0,16650000000.0,2075000000.0,-4511000000.0,370000000.0
