symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
G,2010-06-30,False,Q2,2010,10-Q,307627000.0,38295000.0,27847000.0,0.13,0.12,0.0,1757018000.0,822986000.0,364558000.0,308756000.0,1283782000.0,9962000.0,18148000.0,-14610000.0
G,2010-09-30,False,Q3,2010,10-Q,321571000.0,42430000.0,40131000.0,0.18,0.18,0.0,1827287000.0,884858000.0,350752000.0,360869000.0,1380279000.0,77964000.0,7668000.0,-22379000.0
G,2010-12-31,False,FY,2010,10-K,1258963000.0,177864000.0,142181000.0,0.65,0.63,0.0,1893461000.0,935780000.0,322548000.0,404034000.0,1481242000.0,163098000.0,-33420000.0,-32265000.0
G,2011-03-31,False,Q1,2011,10-Q,330553000.0,46504000.0,36119000.0,0.16,0.16,0.0,1904942000.0,959284000.0,270631000.0,351766000.0,1547098000.0,21096000.0,-60032000.0,-13899000.0
G,2011-06-30,False,Q2,2011,10-Q,397623000.0,51064000.0,39009000.0,0.18,0.17,0.0,2403373000.0,935819000.0,593151000.0,336402000.0,1630098000.0,82032000.0,-495717000.0,339978000.0
G,2011-09-30,False,Q3,2011,10-Q,429565000.0,56748000.0,48046000.0,0.22,0.21,0.0,2428466000.0,999613000.0,639958000.0,409065000.0,1556039000.0,177084000.0,-506358000.0,341792000.0
G,2011-12-31,False,FY,2011,10-K,1600436000.0,216244000.0,184294000.0,0.83,0.81,0.0,2403387000.0,985119000.0,661828000.0,408020000.0,1435683000.0,266612000.0,-535108000.0,326099000.0
G,2012-03-31,False,Q1,2012,10-Q,435479000.0,60431000.0,38540000.0,0.17,0.17,0.0,2476243000.0,1045483000.0,610247000.0,405897000.0,1571604000.0,4910000.0,-27973000.0,-515000.0
G,2012-06-30,False,Q2,2012,10-Q,467631000.0,63167000.0,61100000.0,0.27,0.27,0.0,2527083000.0,1084717000.0,701577000.0,436310000.0,1456794000.0,132072000.0,-84534000.0,-17545000.0
G,2012-09-30,False,Q3,2012,10-Q,491157000.0,69952000.0,25175000.0,0.11,0.11,2.24,2598669000.0,1108966000.0,549120000.0,394503000.0,1153598000.0,209472000.0,-114490000.0,-106115000.0
G,2012-12-31,False,FY,2012,10-K,1901971000.0,264345000.0,178216000.0,0.8,0.78,2.24,2605927000.0,1128767000.0,517818000.0,459228000.0,1171781000.0,310660000.0,-157870000.0,-105493000.0
G,2013-03-31,False,Q1,2013,10-Q,503848000.0,73949000.0,46737000.0,0.21,0.2,0.0,2677010000.0,1171987000.0,511465000.0,474573000.0,1258095000.0,31548000.0,-61671000.0,43875000.0
G,2013-06-30,False,Q2,2013,10-Q,534804000.0,77988000.0,63876000.0,0.28,0.27,0.0,2700329000.0,1242616000.0,562014000.0,519127000.0,1196622000.0,107675000.0,-72535000.0,41627000.0
G,2013-09-30,False,Q3,2013,10-Q,534886000.0,85957000.0,70262000.0,0.31,0.3,0.0,2644135000.0,1217119000.0,481717000.0,481498000.0,1201524000.0,233217000.0,-87653000.0,-70080000.0
G,2013-12-31,False,FY,2013,10-K,2131997000.0,309527000.0,229717000.0,1.0,0.97,0.0,2689367000.0,1276144000.0,461693000.0,571276000.0,1324068000.0,311604000.0,-78442000.0,-65342000.0
G,2014-03-31,False,Q1,2014,10-Q,528190000.0,77247000.0,50613000.0,0.22,0.21,0.0,2703566000.0,1303480000.0,425435000.0,567266000.0,1429092000.0,14241000.0,-14427000.0,-5126000.0
G,2014-06-30,False,Q2,2014,10-Q,561611000.0,73051000.0,48984000.0,0.23,0.22,0.0,2688180000.0,1141055000.0,640247000.0,376802000.0,1205805000.0,93066000.0,-153229000.0,-141826000.0
G,2014-09-30,False,Q3,2014,10-Q,588107000.0,72867000.0,46653000.0,0.22,0.21,0.0,2739384000.0,1206058000.0,671493000.0,399199000.0,1248531000.0,178803000.0,-196343000.0,-152638000.0
G,2014-12-31,False,FY,2014,10-K,2279438000.0,294031000.0,192002000.0,0.87,0.85,0.0,2742537000.0,1188508000.0,622114000.0,461788000.0,1285136000.0,271838000.0,-192822000.0,-177419000.0
G,2015-03-31,False,Q1,2015,10-Q,587153000.0,74050000.0,44653000.0,0.2,0.2,0.0,2736269000.0,1180804000.0,564719000.0,434310000.0,1338525000.0,24288000.0,-31794000.0,-15786000.0
G,2015-06-30,False,Q2,2015,10-Q,609532000.0,89353000.0,62701000.0,0.29,0.28,0.0,2787446000.0,1221442000.0,532473000.0,441755000.0,1319937000.0,114580000.0,-57030000.0,-66671000.0
G,2015-09-30,False,Q3,2015,10-Q,617831000.0,87343000.0,68050000.0,0.32,0.31,0.0,2789005000.0,1235519000.0,585981000.0,467504000.0,1281351000.0,253580000.0,-78410000.0,-152798000.0
G,2015-12-31,False,FY,2015,10-K,2461044000.0,334192000.0,239817000.0,1.11,1.09,0.0,2793489000.0,1195069000.0,594480000.0,450907000.0,1304356000.0,327441000.0,-100473000.0,-218884000.0
