symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
GS,2009-06-26,False,Q2,2009,10-Q,13761000000.0,,2718000000.0,5.27,4.93,0.35,8.89544e+11,,,22177000000.0,62813000000.0,16020000000.0,-772000000.0,-6876000000.0
GS,2009-09-25,False,Q3,2009,10-Q,12372000000.0,,3028000000.0,5.74,5.25,0.35,8.82185e+11,,,23015000000.0,65354000000.0,23352000000.0,-1300000000.0,-12842000000.0
GS,2009-12-31,False,FY,2009,10-K,45173000000.0,,12192000000.0,23.74,22.13,0.0,8.48942e+11,,,38291000000.0,70714000000.0,48875000000.0,-1561000000.0,-22828000000.0
GS,2010-03-31,False,Q1,2010,10-Q,12775000000.0,,3296000000.0,6.02,5.59,0.35,8.80528e+11,,,27064000000.0,72944000000.0,-7504000000.0,-966000000.0,-2757000000.0
GS,2010-06-30,False,Q2,2010,10-Q,8841000000.0,,453000000.0,0.82,0.78,0.35,8.83188e+11,,,5840000000.0,73819000000.0,2449000000.0,-690000000.0,-7449000000.0
GS,2010-09-30,False,Q3,2010,10-Q,8903000000.0,,1737000000.0,3.19,2.98,0.35,9.08679e+11,,,4320000000.0,75657000000.0,3125000000.0,-777000000.0,-4510000000.0
GS,2010-12-31,False,FY,2010,10-K,39161000000.0,,7713000000.0,14.15,13.18,1.4,9.11332e+11,,,5750000000.0,77356000000.0,-6157000000.0,-185000000.0,7839000000.0
GS,2011-03-31,False,Q1,2011,10-Q,11894000000.0,,908000000.0,1.66,1.56,0.35,9.33289e+11,,,3230000000.0,72469000000.0,1900000000.0,112000000.0,883000000.0
GS,2011-06-30,False,Q2,2011,10-Q,7281000000.0,,1052000000.0,1.96,1.85,0.35,9.3691e+11,,,5020000000.0,72356000000.0,12655000000.0,449000000.0,-7459000000.0
GS,2011-09-30,False,Q3,2011,10-Q,3587000000.0,,-428000000.0,-0.84,-0.84,0.35,9.48909e+11,,,6660000000.0,70088000000.0,2430000000.0,988000000.0,997000000.0
GS,2011-12-31,False,FY,2011,10-K,28811000000.0,,2510000000.0,4.71,4.51,0.0,9.23225e+11,,,7950000000.0,70379000000.0,21645000000.0,1485000000.0,-6910000000.0
GS,2012-03-31,False,Q1,2012,10-Q,9949000000.0,,2074000000.0,4.05,3.92,0.35,9.50932e+11,,,7220000000.0,71656000000.0,3538000000.0,-240000000.0,-2168000000.0
GS,2012-06-30,False,Q2,2012,10-Q,6627000000.0,,927000000.0,1.83,1.78,0.46,9.48638e+11,,,8020000000.0,72855000000.0,8905000000.0,-1181000000.0,-4819000000.0
GS,2012-09-30,False,Q3,2012,10-Q,8351000000.0,,1458000000.0,2.95,2.85,0.46,9.49207e+11,,,7110000000.0,73687000000.0,9918000000.0,-1517000000.0,-770000000.0
GS,2012-12-31,False,FY,2012,10-K,34163000000.0,,7292000000.0,14.63,14.13,0.0,9.38555e+11,,,6750000000.0,75716000000.0,12879000000.0,-3734000000.0,7516000000.0
GS,2013-03-31,False,Q1,2013,10-Q,10090000000.0,,2188000000.0,4.53,4.29,0.5,9.59223e+11,,,5950000000.0,77228000000.0,-5698000000.0,-953000000.0,-2685000000.0
GS,2013-06-30,False,Q2,2013,10-Q,8612000000.0,,1861000000.0,3.92,3.7,0.5,9.38456e+11,,,13310000000.0,78043000000.0,5634000000.0,-1660000000.0,-4245000000.0
GS,2013-09-30,False,Q3,2013,10-Q,8280000000.0,,1429000000.0,3.07,2.88,0.5,9.23223e+11,,,7300000000.0,77616000000.0,2263000000.0,,-3639000000.0
GS,2013-12-31,False,FY,2013,10-K,40874000000.0,,7726000000.0,16.34,15.46,0.0,9.11507e+11,,,4140000000.0,78467000000.0,4543000000.0,,-7351000000.0
GS,2014-03-31,False,Q1,2014,10-Q,10885000000.0,,1949000000.0,4.15,4.02,0.55,9.15665e+11,,,5030000000.0,79099000000.0,-4221000000.0,,5149000000.0
GS,2014-06-30,False,Q2,2014,10-Q,10704000000.0,,1953000000.0,4.21,4.1,0.55,8.59914e+11,,,6260000000.0,81629000000.0,-3692000000.0,,6355000000.0
GS,2014-09-30,False,Q3,2014,10-Q,9635000000.0,,2143000000.0,4.69,4.57,0.55,8.68933e+11,,,6970000000.0,82275000000.0,-12591000000.0,-10591000000.0,16199000000.0
GS,2014-12-31,False,FY,2014,10-K,40085000000.0,,8077000000.0,17.55,17.07,2.25,8.5624e+11,,,5790000000.0,82797000000.0,-7623000000.0,-14909000000.0,18999000000.0
GS,2015-03-31,False,Q1,2015,10-Q,11793000000.0,,2748000000.0,6.05,5.94,0.6,8.65458e+11,,,8080000000.0,85127000000.0,6719000000.0,-4263000000.0,3073000000.0
GS,2015-06-30,False,Q2,2015,10-Q,10556000000.0,,916000000.0,2.01,1.98,0.65,8.59879e+11,,,6780000000.0,87654000000.0,-1132000000.0,-11416000000.0,15793000000.0
GS,2015-09-30,False,Q3,2015,10-Q,8138000000.0,,1330000000.0,2.95,2.9,0.65,8.80559e+11,,,6850000000.0,87703000000.0,166000000.0,-14747000000.0,22556000000.0
GS,2015-12-31,False,FY,2015,10-K,39208000000.0,,5568000000.0,12.35,12.14,2.55,8.61395e+11,,,6470000000.0,86728000000.0,6961000000.0,-18574000000.0,29118000000.0
