symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
LNKD,2011-06-30,False,Q2,2011,10-Q,121040000.0,9929000.0,4513000.0,0.07,0.04,0.0,562490000.0,469391000.0,152313000.0,352854000.0,396501000.0,62545000.0,-62332000.0,259304000.0
LNKD,2011-09-30,False,Q3,2011,10-Q,139476000.0,4608000.0,-1598000.0,-0.02,-0.02,0.0,605068000.0,489753000.0,183921000.0,366806000.0,404873000.0,109206000.0,-93574000.0,258894000.0
LNKD,2011-12-31,False,FY,2011,10-K,522189000.0,25845000.0,11912000.0,0.15,0.11,0.0,873697000.0,725927000.0,226659000.0,339048000.0,624979000.0,133424000.0,-338482000.0,452465000.0
LNKD,2012-03-31,False,Q1,2012,10-Q,188456000.0,10610000.0,4989000.0,0.05,0.04,0.0,951410000.0,781909000.0,263933000.0,342248000.0,656117000.0,63215000.0,-72691000.0,11970000.0
LNKD,2012-06-30,False,Q2,2012,10-Q,228207000.0,13498000.0,2811000.0,0.03,0.03,0.0,1139162000.0,811912000.0,299850000.0,286376000.0,783175000.0,110213000.0,-204640000.0,41836000.0
LNKD,2012-09-30,False,Q3,2012,10-Q,252028000.0,6036000.0,2302000.0,0.02,0.02,0.0,1228632000.0,885103000.0,338776000.0,270853000.0,829062000.0,197816000.0,-323665000.0,56921000.0
LNKD,2012-12-31,False,FY,2012,10-K,972309000.0,56862000.0,21610000.0,0.21,0.19,0.0,1382330000.0,1018797000.0,415379000.0,270408000.0,908424000.0,267070000.0,-433028000.0,96563000.0
LNKD,2013-03-31,False,Q1,2013,10-Q,324705000.0,23642000.0,22616000.0,0.21,0.2,0.0,1509532000.0,1117588000.0,468228000.0,264939000.0,991342000.0,103829000.0,-132513000.0,24629000.0
LNKD,2013-06-30,False,Q2,2013,10-Q,363661000.0,8095000.0,3734000.0,0.03,0.03,0.0,1687960000.0,1164150000.0,511910000.0,262670000.0,1111017000.0,227994000.0,-282935000.0,49610000.0
LNKD,2013-09-30,False,Q3,2013,10-Q,392960000.0,4636000.0,-3363000.0,-0.03,-0.03,0.0,3144278000.0,2571838000.0,545938000.0,1396292000.0,2531132000.0,354020000.0,-643132000.0,1415623000.0
LNKD,2013-12-31,False,FY,2013,10-K,1528545000.0,47812000.0,26769000.0,0.24,0.23,0.0,3352793000.0,2755470000.0,641991000.0,803089000.0,2629394000.0,436473000.0,-1357545000.0,1454219000.0
LNKD,2014-03-31,False,Q1,2014,10-Q,473193000.0,-764000.0,-13445000.0,-0.11,-0.11,0.0,3561869000.0,2779905000.0,701428000.0,508850000.0,2761189000.0,128858000.0,-447792000.0,24122000.0
LNKD,2014-06-30,False,Q2,2014,10-Q,533877000.0,14122000.0,-1034000.0,-0.01,-0.01,0.0,3720886000.0,2870577000.0,736229000.0,645092000.0,2875045000.0,257294000.0,-480592000.0,63875000.0
LNKD,2014-09-30,False,Q3,2014,10-Q,568265000.0,8603000.0,-4263000.0,-0.03,-0.03,0.0,3906012000.0,2784744000.0,759217000.0,526837000.0,2995098000.0,438520000.0,-800633000.0,88739000.0
LNKD,2014-12-31,False,FY,2014,10-K,2218767000.0,36135000.0,-15747000.0,-0.13,-0.13,0.0,5427257000.0,4122100000.0,882785000.0,460887000.0,3325392000.0,568951000.0,-2293271000.0,1388485000.0
LNKD,2015-03-31,False,Q1,2015,10-Q,637687000.0,-17220000.0,-42548000.0,-0.34,-0.34,0.0,5538164000.0,4219519000.0,877742000.0,1017287000.0,3418467000.0,165132000.0,371304000.0,26739000.0
LNKD,2015-06-30,False,Q2,2015,10-Q,711735000.0,-81148000.0,-67748000.0,-0.53,-0.53,0.0,6556782000.0,3735898000.0,996344000.0,450991000.0,4195443000.0,390774000.0,-427923000.0,30103000.0
LNKD,2015-09-30,False,Q3,2015,10-Q,779595000.0,-36681000.0,-40523000.0,-0.31,-0.31,0.0,6716710000.0,3812737000.0,1041534000.0,631725000.0,4301609000.0,630369000.0,-484788000.0,31358000.0
LNKD,2015-12-31,False,FY,2015,10-K,2990911000.0,-150942000.0,-166144000.0,-1.29,-1.29,0.0,7011199000.0,3935089000.0,1188084000.0,546237000.0,4468643000.0,806975000.0,-792077000.0,77814000.0
