symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
LULU,2010-08-01,False,Q2,2011,10-Q,152208000.0,34243000.0,21792000.0,0.31,0.3,0.0,363696000.0,259050000.0,46713000.0,178172000.0,293314000.0,34552000.0,-24053000.0,6138000.0
LULU,2010-10-31,False,Q3,2011,10-Q,175800000.0,42376000.0,25701000.0,0.36,0.36,0.0,418972000.0,311717000.0,64276000.0,224775000.0,326673000.0,87917000.0,-34433000.0,7945000.0
LULU,2011-01-30,False,FY,2011,10-K,711704000.0,180391000.0,121847000.0,1.72,1.69,0.0,499302000.0,389279000.0,85364000.0,316286000.0,394293000.0,179995000.0,-42839000.0,13699000.0
LULU,2011-05-01,False,Q1,2011,10-Q,186780000.0,51687000.0,33372000.0,0.47,0.46,0.0,536460000.0,349988000.0,58990000.0,260871000.0,455861000.0,5655000.0,-74831000.0,8158000.0
LULU,2011-07-31,False,Q2,2012,10-Q,212323000.0,59483000.0,38379000.0,0.27,0.26,0.0,586461000.0,383972000.0,64958000.0,264728000.0,499677000.0,19529000.0,-87324000.0,12095000.0
LULU,2011-10-30,False,Q3,2012,10-Q,230216000.0,59721000.0,38794000.0,0.27,0.27,0.0,636070000.0,427816000.0,82514000.0,276946000.0,529090000.0,53520000.0,-106344000.0,14474000.0
LULU,2012-01-29,False,FY,2012,10-K,1000839000.0,286958000.0,184063000.0,1.29,1.27,0.0,734634000.0,527093000.0,103439000.0,409437000.0,606181000.0,203615000.0,-122311000.0,15364000.0
LULU,2012-04-29,False,Q1,2012,10-Q,285698000.0,73065000.0,46643000.0,0.32,0.32,0.0,770619000.0,558105000.0,70834000.0,424330000.0,673402000.0,15952000.0,-12696000.0,8811000.0
LULU,2012-07-29,False,Q2,2012,10-Q,-282634000.0,-70188000.0,57222000.0,0.4,0.39,0.0,829138000.0,603525000.0,74976000.0,444286000.0,726345000.0,63520000.0,-39046000.0,10470000.0
LULU,2012-10-28,False,Q3,2012,10-Q,316537000.0,80611000.0,57316000.0,0.4,0.39,0.0,888781000.0,641084000.0,91190000.0,439423000.0,767821000.0,113240000.0,-72041000.0,-11863000.0
LULU,2013-02-03,False,FY,2013,10-K,1370358000.0,376439000.0,270556000.0,1.88,1.85,0.0,1051078000.0,787053000.0,133357000.0,590179000.0,887299000.0,280113000.0,-93229000.0,-5491000.0
LULU,2013-05-05,False,Q1,2013,10-Q,345782000.0,65889000.0,47279000.0,0.33,0.32,0.0,1053476000.0,781619000.0,92326000.0,588418000.0,930060000.0,25135000.0,-20976000.0,-4358000.0
LULU,2013-08-04,False,Q2,2013,10-Q,344513000.0,78986000.0,56465000.0,0.39,0.39,0.0,1114122000.0,838140000.0,100941000.0,610273000.0,979288000.0,70931000.0,-44014000.0,6305000.0
LULU,2013-11-03,False,Q3,2013,10-Q,379900000.0,92336000.0,66111000.0,0.46,0.45,0.0,1174554000.0,880591000.0,94614000.0,600745000.0,1042760000.0,94806000.0,-71945000.0,8654000.0
LULU,2014-02-02,False,FY,2013,10-K,1591188000.0,391358000.0,279547000.0,1.93,1.91,0.0,1249688000.0,942839000.0,113514000.0,698649000.0,1096682000.0,278339000.0,-106408000.0,8907000.0
LULU,2014-05-04,False,Q1,2014,10-Q,384618000.0,69801000.0,18981000.0,0.13,0.13,0.0,1290957000.0,981383000.0,105483000.0,751965000.0,1128381000.0,70975000.0,-25447000.0,-1649000.0
LULU,2014-08-03,False,Q2,2014,10-Q,390708000.0,67888000.0,48748000.0,0.34,0.33,0.0,1297920000.0,974102000.0,114900000.0,725073000.0,1126667000.0,123985000.0,-52102000.0,-57167000.0
LULU,2014-11-02,False,Q3,2014,10-Q,419396000.0,81156000.0,60451000.0,0.42,0.42,0.0,1284487000.0,944657000.0,147750000.0,633582000.0,1085261000.0,166841000.0,-89373000.0,-131781000.0
LULU,2015-02-01,False,FY,2014,10-K,1797213000.0,376033000.0,239033000.0,1.66,1.66,0.0,1296213000.0,951012000.0,159881000.0,664479000.0,1089568000.0,314449000.0,-119733000.0,-149077000.0
LULU,2015-05-03,False,Q1,2015,10-Q,423544000.0,68036000.0,47810000.0,0.34,0.34,0.0,1337716000.0,972792000.0,143482000.0,655881000.0,1145011000.0,20940000.0,-27936000.0,-17041000.0
LULU,2015-08-02,False,Q2,2015,10-Q,453010000.0,66579000.0,47668000.0,0.34,0.34,0.0,1294221000.0,918269000.0,148108000.0,541262000.0,1095468000.0,32161000.0,-65118000.0,-78837000.0
LULU,2015-11-01,False,Q3,2015,10-Q,479693000.0,68178000.0,53153000.0,0.38,0.38,0.0,1321559000.0,928504000.0,208328000.0,403446000.0,1059959000.0,25940000.0,-108061000.0,-167452000.0
