symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
NFLX,2015-12-31,False,FY,2015,10-K,6779511000.0,305826000.0,122641000.0,0.29,0.28,0.0,10202871000.0,5431840000.0,3529624000.0,1809330000.0,2223426000.0,-749439000.0,-179192000.0,1640277000.0
NFLX,2009-06-30,False,Q2,2009,10-Q,408509000.0,52782000.0,32443000.0,0.56,0.54,0.0,591993000.0,342564000.0,211186000.0,87471000.0,324371000.0,75302000.0,-43749000.0,-59213000.0
NFLX,2009-12-31,False,FY,2009,10-K,1670269000.0,191939000.0,115860000.0,2.05,1.98,0.0,679734000.0,411013000.0,226369000.0,134224000.0,199143000.0,325063000.0,-246079000.0,-84641000.0
NFLX,2011-06-30,False,Q2,2011,10-Q,788610000.0,115114000.0,68214000.0,1.3,1.26,0.0,1570693000.0,969444000.0,726709000.0,175207000.0,334034000.0,86392000.0,-34949000.0,-26655000.0
NFLX,2011-03-31,False,Q1,2011,10-Q,718553000.0,102240000.0,60233000.0,1.14,1.11,0.0,1090188000.0,721602000.0,490318000.0,150419000.0,275722000.0,116323000.0,-73675000.0,-86728000.0
NFLX,2010-12-31,False,FY,2010,10-K,2162625000.0,283641000.0,160853000.0,3.06,2.96,0.0,982067000.0,640967000.0,388579000.0,194499000.0,290164000.0,276401000.0,-116081000.0,-100045000.0
NFLX,2010-09-30,False,Q3,2010,10-Q,553219000.0,69501000.0,37967000.0,0.73,0.7,0.0,770283000.0,492247000.0,312107000.0,113108000.0,191975000.0,42227000.0,-5606000.0,-30840000.0
NFLX,2010-06-30,False,Q2,2010,10-Q,519819000.0,77342000.0,43519000.0,0.83,0.8,0.0,693972000.0,441218000.0,258167000.0,107327000.0,176640000.0,60252000.0,-11467000.0,-21319000.0
NFLX,2010-03-31,False,Q1,2010,10-Q,493665000.0,58345000.0,32272000.0,0.61,0.59,0.0,648293000.0,379538000.0,243447000.0,79861000.0,146735000.0,75412000.0,-39032000.0,-90743000.0
NFLX,2012-09-30,False,Q3,2012,10-Q,905089000.0,16135000.0,7675000.0,0.14,0.13,0.0,3808833000.0,2225018000.0,1598223000.0,370298000.0,716840000.0,150000.0,-33524000.0,-158000.0
NFLX,2011-09-30,False,Q3,2011,10-Q,821839000.0,96842000.0,62460000.0,1.19,1.16,0.0,1961558000.0,1190113000.0,967966000.0,159199000.0,388352000.0,49531000.0,-41581000.0,-23958000.0
NFLX,2009-09-30,False,Q3,2009,10-Q,423120000.0,49337000.0,30141000.0,0.54,0.52,0.0,492131000.0,234962000.0,203522000.0,55717000.0,232202000.0,78311000.0,15590000.0,-125655000.0
NFLX,2012-03-31,False,Q1,2012,10-Q,869791000.0,-1935000.0,-4584000.0,-0.08,-0.08,0.0,3480459000.0,2058741000.0,1446666000.0,395992000.0,663402000.0,19109000.0,-135817000.0,4032000.0
NFLX,2012-06-30,False,Q2,2012,10-Q,889163000.0,16154000.0,6164000.0,0.11,0.11,0.0,3478290000.0,2137785000.0,1498844000.0,402251000.0,688226000.0,19692000.0,-10939000.0,-117000.0
NFLX,2011-12-31,False,FY,2011,10-K,3204577000.0,376068000.0,226126000.0,4.28,4.16,0.0,3069196000.0,1830857000.0,1225055000.0,508053000.0,642810000.0,317712000.0,-265814000.0,261656000.0
NFLX,2011-09-30,True,Q3,2011,10-Q,821839000.0,96842000.0,62460000.0,1.19,1.16,0.0,1961558000.0,1190113000.0,967966000.0,159199000.0,388352000.0,49531000.0,-41581000.0,-23958000.0
NFLX,2013-12-31,False,FY,2013,10-K,4374562000.0,228347000.0,112403000.0,1.93,1.85,0.0,5412563000.0,3058763000.0,2154203000.0,604965000.0,1333561000.0,97831000.0,-255968000.0,476264000.0
NFLX,2013-06-30,False,Q2,2013,10-Q,1069372000.0,57117000.0,29471000.0,0.51,0.49,0.0,4480751000.0,2570322000.0,1670264000.0,370678000.0,1105622000.0,33943000.0,-127685000.0,48959000.0
