symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
NKE,2009-08-31,False,Q1,2010,10-Q,4798500000.0,,513000000.0,1.06,1.04,0.25,13190600000.0,9606900000.0,2852800000.0,2260600000.0,9090700000.0,709000000.0,-331900000.0,-358400000.0
NKE,2009-11-30,False,Q2,2010,10-Q,4405600000.0,,375400000.0,0.77,0.76,0.27,13358400000.0,9765600000.0,2798300000.0,2035200000.0,9224100000.0,1377100000.0,-1064800000.0,-505700000.0
NKE,2010-02-28,False,Q3,2010,10-Q,4733000000.0,,496400000.0,1.02,1.01,0.27,13576300000.0,10088000000.0,2846700000.0,2225200000.0,9428900000.0,1889000000.0,-964000000.0,-909300000.0
NKE,2010-05-31,False,FY,2010,10-K,19014000000.0,,1906700000.0,3.93,3.86,1.06,14419300000.0,10959200000.0,3364200000.0,3079100000.0,9753700000.0,3164200000.0,-1267500000.0,-1061200000.0
NKE,2010-08-31,False,Q1,2011,10-Q,5175000000.0,,559000000.0,1.17,1.14,0.27,14051000000.0,10531000000.0,3142000000.0,2010000000.0,9660000000.0,212000000.0,-684000000.0,-600000000.0
NKE,2010-11-30,False,Q2,2011,10-Q,4842000000.0,,457000000.0,0.96,0.94,0.31,14464000000.0,10916000000.0,3248000000.0,1768000000.0,9949000000.0,647000000.0,-1171000000.0,-796000000.0
NKE,2011-02-28,False,Q3,2011,10-Q,5079000000.0,,523000000.0,1.1,1.08,0.31,14478000000.0,10785000000.0,3342000000.0,2132000000.0,9902000000.0,970000000.0,-602000000.0,-1338000000.0
NKE,2011-05-31,False,FY,2011,10-K,20862000000.0,,2133000000.0,4.48,4.39,1.2,14998000000.0,11297000000.0,3958000000.0,1955000000.0,9843000000.0,1812000000.0,-1021000000.0,-1972000000.0
NKE,2011-08-31,False,Q1,2012,10-Q,6081000000.0,,645000000.0,1.39,1.36,0.31,14803000000.0,11039000000.0,3760000000.0,1608000000.0,9899000000.0,87000000.0,317000000.0,-744000000.0
NKE,2011-11-30,False,Q2,2012,10-Q,5731000000.0,,469000000.0,1.02,1.0,0.36,14565000000.0,10725000000.0,3563000000.0,1929000000.0,9843000000.0,597000000.0,832000000.0,-1454000000.0
NKE,2012-02-29,False,Q3,2012,10-Q,5846000000.0,,560000000.0,1.22,1.2,0.36,14794000000.0,10932000000.0,3410000000.0,2021000000.0,10176000000.0,925000000.0,998000000.0,-1870000000.0
NKE,2012-05-31,False,FY,2012,10-K,24128000000.0,,2223000000.0,4.83,4.73,1.39,15465000000.0,11531000000.0,3865000000.0,2317000000.0,10381000000.0,1899000000.0,514000000.0,-2118000000.0
NKE,2012-08-31,False,Q1,2013,10-Q,6669000000.0,,567000000.0,1.25,1.23,0.36,15114000000.0,11136000000.0,3776000000.0,2165000000.0,10047000000.0,535000000.0,221000000.0,-907000000.0
NKE,2012-11-30,False,Q2,2013,10-Q,5955000000.0,,384000000.0,0.43,0.42,0.21,15171000000.0,11435000000.0,3799000000.0,2291000000.0,10014000000.0,1245000000.0,160000000.0,-1431000000.0
NKE,2013-02-28,False,Q3,2013,10-Q,6187000000.0,,866000000.0,0.97,0.95,0.21,15615000000.0,11789000000.0,3500000000.0,2557000000.0,10667000000.0,1668000000.0,310000000.0,-1783000000.0
NKE,2013-05-31,False,FY,2013,10-K,25313000000.0,,2485000000.0,2.77,2.71,0.81,17584000000.0,13626000000.0,3926000000.0,3337000000.0,11156000000.0,3027000000.0,-1067000000.0,-1040000000.0
NKE,2013-08-31,False,Q1,2014,10-Q,6971000000.0,,780000000.0,0.88,0.86,0.21,17674000000.0,13618000000.0,3863000000.0,2936000000.0,11282000000.0,597000000.0,-392000000.0,-598000000.0
NKE,2013-11-30,False,Q2,2014,10-Q,6431000000.0,,537000000.0,0.6,0.59,0.24,17820000000.0,13607000000.0,3851000000.0,2086000000.0,11344000000.0,929000000.0,-1177000000.0,-990000000.0
NKE,2014-02-28,False,Q3,2014,10-Q,6972000000.0,,685000000.0,0.78,0.76,0.24,17803000000.0,13410000000.0,3954000000.0,1864000000.0,11133000000.0,1683000000.0,-1246000000.0,-1917000000.0
NKE,2014-05-31,False,FY,2014,10-K,27799000000.0,,2693000000.0,3.05,2.97,0.93,18594000000.0,13696000000.0,5027000000.0,2220000000.0,10824000000.0,3003000000.0,-1207000000.0,-2914000000.0
NKE,2014-08-31,False,Q1,2015,10-Q,7982000000.0,,962000000.0,1.11,1.09,0.24,18521000000.0,13540000000.0,4813000000.0,2303000000.0,11105000000.0,588000000.0,280000000.0,-882000000.0
NKE,2014-11-30,False,Q2,2015,10-Q,7380000000.0,,655000000.0,0.76,0.74,0.28,19167000000.0,14033000000.0,4937000000.0,2273000000.0,11700000000.0,1235000000.0,-166000000.0,-1304000000.0
NKE,2015-02-28,False,Q3,2015,10-Q,7460000000.0,,791000000.0,0.92,0.89,0.28,20541000000.0,15207000000.0,5586000000.0,3015000000.0,12368000000.0,3338000000.0,-382000000.0,-2095000000.0
