symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
RYN,2010-06-30,False,Q2,2010,10-Q,312210000.0,56344000.0,38558000.0,0.48,0.48,0.0,2352589000.0,594689000.0,177004000.0,344184000.0,1181863000.0,355800000.0,-76516000.0,-9989000.0
RYN,2010-09-30,False,Q3,2010,10-Q,377515000.0,92082000.0,62904000.0,0.78,0.77,0.0,2392135000.0,661697000.0,175054000.0,405665000.0,1222639000.0,473207000.0,-102612000.0,-39768000.0
RYN,2010-12-31,False,FY,2010,10-K,1315233000.0,281951000.0,217586000.0,2.71,2.68,0.0,2363653000.0,609186000.0,244948000.0,349463000.0,1251582000.0,495390000.0,-142656000.0,-78187000.0
RYN,2011-03-31,False,Q1,2011,10-Q,357731000.0,87578000.0,58412000.0,0.72,0.7,0.0,2324899000.0,577469000.0,260311000.0,317112000.0,1273548000.0,115705000.0,-30821000.0,-117351000.0
RYN,2011-06-30,False,Q2,2011,10-Q,357397000.0,79073000.0,56454000.0,0.7,0.67,0.54,2361787000.0,605286000.0,302830000.0,314180000.0,1302979000.0,194867000.0,-70814000.0,-159568000.0
RYN,2011-09-30,False,Q3,2011,10-Q,385091000.0,108310000.0,104909000.0,0.86,0.84,0.4,2494721000.0,648418000.0,300209000.0,362285000.0,1368031000.0,326270000.0,-180541000.0,-133300000.0
RYN,2011-12-31,False,FY,2011,10-K,1488642000.0,356286000.0,276005000.0,2.27,2.2,1.52,2569348000.0,344502000.0,178251000.0,78603000.0,1323073000.0,432270000.0,-488614000.0,-215133000.0
RYN,2012-03-31,False,Q1,2012,10-Q,355780000.0,84009000.0,53437000.0,0.44,0.42,0.4,2793883000.0,498100000.0,233083000.0,236575000.0,1342385000.0,111354000.0,-73667000.0,120410000.0
RYN,2012-06-30,False,Q2,2012,10-Q,371926000.0,98590000.0,69079000.0,0.56,0.54,0.4,2816577000.0,500331000.0,196753000.0,189103000.0,1360110000.0,208876000.0,-164062000.0,65467000.0
RYN,2012-09-30,False,Q3,2012,10-Q,408988000.0,113174000.0,80560000.0,0.66,0.62,0.44,2913868000.0,525181000.0,287066000.0,215475000.0,1417966000.0,353642000.0,-236944000.0,20297000.0
RYN,2012-12-31,False,FY,2012,10-K,1571000000.0,411451000.0,278685000.0,2.27,2.17,1.68,3122951000.0,566274000.0,307823000.0,280596000.0,1438004000.0,445914000.0,-472901000.0,229019000.0
RYN,2013-03-31,False,Q1,2013,10-Q,393719000.0,115363000.0,147735000.0,1.19,1.13,0.44,3202285000.0,590758000.0,260725000.0,266017000.0,1539190000.0,89660000.0,24481000.0,-128703000.0
RYN,2013-06-30,False,Q2,2013,10-Q,409077000.0,110561000.0,87164000.0,0.69,0.67,0.44,3828051000.0,682217000.0,330471000.0,343581000.0,1650120000.0,235672000.0,-244005000.0,71492000.0
RYN,2013-09-30,False,Q3,2013,10-Q,384784000.0,83649000.0,57345000.0,0.45,0.44,0.0,3818120000.0,641181000.0,239862000.0,260738000.0,1684879000.0,334236000.0,-339192000.0,-14566000.0
RYN,2013-12-31,False,FY,2013,10-K,1707822000.0,422814000.0,371896000.0,2.96,2.86,1.86,3685501000.0,519094000.0,276112000.0,199644000.0,1755243000.0,545173000.0,-468920000.0,-157141000.0
RYN,2013-12-31,True,FY,2013,10-K,1707822000.0,422814000.0,371896000.0,2.96,2.86,1.86,3685501000.0,519094000.0,276112000.0,199644000.0,1755243000.0,545173000.0,-468920000.0,-157141000.0
RYN,2014-03-31,False,Q1,2014,10-Q,386686000.0,65008000.0,43375000.0,0.34,0.34,0.49,3644778000.0,495833000.0,297491000.0,156071000.0,1759592000.0,99274000.0,-488000.0,-142372000.0
RYN,2014-03-31,True,Q1,2014,10-Q,386686000.0,63039000.0,41426000.0,0.33,0.32,0.49,3642829000.0,495853000.0,297491000.0,156071000.0,1757643000.0,99274000.0,-488000.0,-142372000.0
RYN,2014-06-30,False,Q2,2014,10-Q,163145000.0,39568000.0,18385000.0,0.15,0.14,0.0,2635957000.0,360096000.0,91409000.0,222061000.0,1719848000.0,226396000.0,-92661000.0,-111268000.0
RYN,2014-06-30,True,Q2,2014,10-Q,163145000.0,37577000.0,16353000.0,0.13,0.12,0.0,2631976000.0,360074000.0,91409000.0,222061000.0,1715867000.0,226396000.0,-92661000.0,-111268000.0
RYN,2014-09-30,False,Q3,2014,10-Q,149829000.0,32079000.0,32701000.0,0.26,0.25,0.8,2477559000.0,251539000.0,211636000.0,182831000.0,1610902000.0,280729000.0,-152007000.0,-145432000.0
RYN,2014-12-31,False,FY,2014,10-K,603521000.0,98289000.0,99337000.0,0.78,0.76,2.03,2453115000.0,214363000.0,202002000.0,161558000.0,1575151000.0,316547000.0,-192807000.0,-161449000.0
RYN,2015-03-31,False,Q1,2015,10-Q,140305000.0,27747000.0,17747000.0,0.14,0.14,0.25,2412550000.0,190149000.0,196792000.0,139049000.0,1548216000.0,53398000.0,-43739000.0,-30586000.0
RYN,2015-06-30,False,Q2,2015,10-Q,115801000.0,6523000.0,-1536000.0,-0.01,-0.01,0.25,2366321000.0,145660000.0,112460000.0,91632000.0,1477272000.0,85883000.0,-107273000.0,-44132000.0
RYN,2015-09-30,False,Q3,2015,10-Q,151657000.0,27779000.0,19669000.0,0.16,0.16,0.25,2314460000.0,123623000.0,81355000.0,65755000.0,1376217000.0,143403000.0,-142871000.0,-90101000.0
