symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
TSLA,2011-06-30,False,Q2,2011,10-Q,58171000.0,-58739000.0,-58903000.0,-0.6,-0.6,0.0,646155000.0,417758000.0,138736000.0,319380000.0,348452000.0,-65785000.0,-13011000.0,298618000.0
TSLA,2011-09-30,False,Q3,2011,10-Q,57666000.0,-64477000.0,-65078000.0,-0.63,-0.63,0.0,700250000.0,412121000.0,154181000.0,213328000.0,294118000.0,-87276000.0,-191181000.0,392227000.0
TSLA,2011-12-31,False,FY,2011,10-K,204242000.0,-251488000.0,-254411000.0,-2.53,-2.53,0.0,713448000.0,372838000.0,191339000.0,255266000.0,224045000.0,-114364000.0,-175928000.0,446000000.0
TSLA,2011-12-31,True,FY,2011,10-K,204242000.0,-251488000.0,-254411000.0,-2.53,-2.53,0.0,713448000.0,372838000.0,191339000.0,255266000.0,224045000.0,-114364000.0,-175928000.0,446000000.0
TSLA,2012-03-31,False,Q1,2012,10-Q,30167000.0,-88763000.0,-89873000.0,-0.86,-0.86,0.0,761100000.0,358897000.0,235722000.0,218570000.0,153874000.0,-50087000.0,-79440000.0,92831000.0
TSLA,2012-06-30,False,Q2,2012,10-Q,26653000.0,-106175000.0,-105603000.0,-1.0,-1.0,0.0,776869000.0,317126000.0,286526000.0,210554000.0,62215000.0,-111068000.0,-98655000.0,165011000.0
TSLA,2012-09-30,False,Q3,2012,10-Q,50104000.0,-108460000.0,-110804000.0,-1.05,-1.05,0.0,809177000.0,284541000.0,385806000.0,85693000.0,-27875000.0,-206020000.0,-168743000.0,205190000.0
TSLA,2012-12-31,False,FY,2012,10-K,413256000.0,-394283000.0,-396213000.0,-3.69,-3.69,0.0,1114190000.0,524768000.0,539108000.0,201890000.0,124700000.0,-266081000.0,-206930000.0,419635000.0
TSLA,2013-03-31,False,Q1,2013,10-Q,561792000.0,-5584000.0,11248000.0,0.1,0.0,0.0,1143778000.0,525993000.0,535623000.0,214417000.0,168583000.0,64079000.0,-55236000.0,3684000.0
TSLA,2013-06-30,False,Q2,2013,10-Q,405139000.0,-11792000.0,-30502000.0,-0.26,-0.26,0.0,1887844000.0,1129542000.0,486545000.0,746057000.0,629426000.0,25886000.0,-82410000.0,600691000.0
TSLA,2013-09-30,False,Q3,2013,10-Q,431346000.0,-30554000.0,-38496000.0,-0.32,-0.32,0.0,2166209000.0,1218766000.0,1169459000.0,795116000.0,564165000.0,128232000.0,-159912000.0,624906000.0
TSLA,2013-12-31,False,FY,2013,10-K,2013496000.0,-61283000.0,-74014000.0,-0.62,-0.62,0.0,2416930000.0,1265939000.0,675160000.0,845889000.0,667120000.0,257994000.0,-249417000.0,635422000.0
TSLA,2014-03-31,False,Q1,2014,10-Q,620542000.0,-43967000.0,-49800000.0,-0.4,-0.4,0.0,4500410000.0,3156047000.0,1413470000.0,2393908000.0,912056000.0,60640000.0,-329180000.0,1816559000.0
TSLA,2014-06-30,False,Q2,2014,10-Q,769349000.0,-28753000.0,-61900000.0,-0.5,-0.5,0.0,5054463000.0,3441694000.0,1575850000.0,2674910000.0,952333000.0,57061000.0,-326570000.0,2098051000.0
TSLA,2014-09-30,False,Q3,2014,10-Q,851804000.0,-39129000.0,-74708000.0,-0.6,-0.6,0.0,5437533000.0,3362914000.0,1839777000.0,2370735000.0,958094000.0,29065000.0,-618213000.0,2131805000.0
TSLA,2014-12-31,False,FY,2014,10-K,3198356000.0,-186689000.0,-294040000.0,-2.36,-2.36,0.0,5849251000.0,3198657000.0,2107166000.0,1905713000.0,911710000.0,-57337000.0,-990444000.0,2143130000.0
TSLA,2015-03-31,False,Q1,2015,10-Q,939880000.0,-102446000.0,-154181000.0,-1.22,-1.22,0.0,6120030000.0,2921417000.0,2192381000.0,1510076000.0,825997000.0,-131794000.0,-432344000.0,186156000.0
TSLA,2015-06-30,False,Q2,2015,10-Q,954976000.0,-170188000.0,-184227000.0,-1.45,-1.45,0.0,6468185000.0,2628621000.0,2384388000.0,1150673000.0,715934000.0,-291310000.0,-855181000.0,404507000.0
TSLA,2015-09-30,False,Q3,2015,10-Q,936789000.0,-183662000.0,-229858000.0,-1.78,-1.78,0.0,7547497000.0,2998795000.0,2553771000.0,1426036000.0,1314656000.0,-494650000.0,-1259271000.0,1298485000.0
