symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
V,2009-06-30,False,Q3,2009,10-Q,1646000000.0,822000000.0,729000000.0,2.55,2.55,0.0,32624000000.0,9562000000.0,4435000000.0,4200000000.0,22794000000.0,767000000.0,955000000.0,-2491000000.0
V,2009-09-30,False,FY,2009,10-K,6911000000.0,3538000000.0,2353000000.0,8.2,8.18,0.105,32281000000.0,9241000000.0,4442000000.0,4617000000.0,23189000000.0,558000000.0,1830000000.0,-2751000000.0
V,2009-12-31,False,Q1,2010,10-Q,1960000000.0,1217000000.0,763000000.0,2.66,2.64,0.125,31715000000.0,8753000000.0,3637000000.0,4160000000.0,23477000000.0,-29000000.0,22000000.0,-452000000.0
V,2010-03-31,False,Q2,2010,10-Q,1959000000.0,1122000000.0,713000000.0,2.5,2.48,0.0,32068000000.0,9115000000.0,3537000000.0,4560000000.0,23987000000.0,580000000.0,52000000.0,-695000000.0
V,2010-06-30,False,Q3,2010,10-Q,2029000000.0,1137000000.0,716000000.0,2.5,2.49,0.0,32696000000.0,9850000000.0,3482000000.0,5205000000.0,24680000000.0,1798000000.0,-10000000.0,-1202000000.0
V,2010-09-30,False,FY,2010,10-K,8065000000.0,4589000000.0,2966000000.0,10.37,10.32,0.125,33408000000.0,8734000000.0,3498000000.0,3867000000.0,25014000000.0,2691000000.0,-1904000000.0,-1542000000.0
V,2010-12-31,False,Q1,2011,10-Q,2238000000.0,1366000000.0,884000000.0,3.09,3.09,0.15,33989000000.0,9355000000.0,3679000000.0,3684000000.0,25544000000.0,1006000000.0,-73000000.0,-1121000000.0
V,2011-03-31,False,Q2,2011,10-Q,2245000000.0,1383000000.0,881000000.0,3.11,3.09,0.0,34422000000.0,9606000000.0,3465000000.0,3512000000.0,26154000000.0,1609000000.0,-196000000.0,-1779000000.0
V,2011-06-30,False,Q3,2011,10-Q,2322000000.0,1345000000.0,1005000000.0,3.56,3.56,0.0,34447000000.0,9516000000.0,3531000000.0,3600000000.0,26052000000.0,3004000000.0,-425000000.0,-2854000000.0
V,2011-09-30,False,FY,2011,10-K,9188000000.0,5456000000.0,3650000000.0,12.95,12.9,0.15,34760000000.0,9190000000.0,3451000000.0,2127000000.0,26437000000.0,3872000000.0,-2299000000.0,-3304000000.0
V,2011-12-31,False,Q1,2012,10-Q,2547000000.0,1618000000.0,1029000000.0,3.73,3.71,0.22,35768000000.0,9978000000.0,3537000000.0,1942000000.0,27301000000.0,1286000000.0,194000000.0,-1665000000.0
