symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
WMT,2009-07-31,False,Q2,2009,10-Q,1.00082e+11,5882000000.0,3442000000.0,0.88,0.88,0.0,1.68942e+11,49025000000.0,57196000000.0,7997000000.0,68822000000.0,9895000000.0,-5748000000.0,-3434000000.0
WMT,2009-10-31,False,Q3,2009,10-Q,98667000000.0,5593000000.0,3239000000.0,0.84,0.84,0.0,1.72934e+11,51948000000.0,59179000000.0,6003000000.0,69642000000.0,12440000000.0,-8661000000.0,-4926000000.0
WMT,2010-01-31,False,FY,2009,10-K,4.05046e+11,23950000000.0,14335000000.0,3.71,3.7,1.09,1.70706e+11,48331000000.0,55561000000.0,7907000000.0,72929000000.0,26249000000.0,-11620000000.0,-14191000000.0
WMT,2010-04-30,False,Q1,2011,10-Q,99097000000.0,5772000000.0,3324000000.0,0.88,0.88,1.21,1.74371e+11,51674000000.0,64512000000.0,8516000000.0,68602000000.0,973000000.0,-2236000000.0,1836000000.0
WMT,2010-07-31,False,Q2,2011,10-Q,1.03016e+11,6190000000.0,3596000000.0,0.97,0.97,0.0,1.76944e+11,53045000000.0,65655000000.0,10195000000.0,66896000000.0,10019000000.0,-5581000000.0,-2045000000.0
WMT,2010-10-31,False,Q3,2011,10-Q,1.01239e+11,5611000000.0,3436000000.0,0.95,0.95,0.0,1.8689e+11,59568000000.0,68407000000.0,10616000000.0,68020000000.0,12265000000.0,-9289000000.0,-330000000.0
WMT,2011-01-31,False,FY,2011,10-K,4.18952e+11,25542000000.0,16389000000.0,4.48,4.47,1.21,1.80663e+11,51893000000.0,58484000000.0,7395000000.0,71247000000.0,23643000000.0,-12193000000.0,-12028000000.0
WMT,2011-04-30,False,Q1,2012,10-Q,1.03415e+11,5896000000.0,3399000000.0,0.97,0.97,1.46,1.86065e+11,55958000000.0,62051000000.0,9400000000.0,67992000000.0,1974000000.0,-1869000000.0,1666000000.0
WMT,2011-07-31,False,Q2,2012,10-Q,1.08638e+11,6383000000.0,3801000000.0,1.09,1.09,0.0,1.93656e+11,55414000000.0,64624000000.0,8102000000.0,72848000000.0,9708000000.0,-8892000000.0,-206000000.0
WMT,2011-10-31,False,Q3,2012,10-Q,1.09516e+11,5878000000.0,3336000000.0,0.97,0.96,0.0,1.95039e+11,59271000000.0,67339000000.0,7063000000.0,71391000000.0,12914000000.0,-12814000000.0,-284000000.0
WMT,2012-01-31,False,FY,2012,10-K,4.43854e+11,26558000000.0,15699000000.0,4.54,4.52,1.46,1.93406e+11,54975000000.0,62300000000.0,6550000000.0,75761000000.0,24255000000.0,-16609000000.0,-8458000000.0
WMT,2012-04-30,False,Q1,2013,10-Q,1.12272e+11,6387000000.0,3742000000.0,1.1,1.09,1.59,1.971e+11,57276000000.0,68978000000.0,8117000000.0,73935000000.0,5434000000.0,-2436000000.0,-1807000000.0
WMT,2012-07-31,False,Q2,2013,10-Q,1.13534e+11,6698000000.0,4016000000.0,1.19,1.18,0.0,1.95661e+11,56259000000.0,68315000000.0,7935000000.0,74701000000.0,11595000000.0,-5698000000.0,-4778000000.0
WMT,2012-10-31,False,Q3,2013,10-Q,1.13204e+11,6116000000.0,3635000000.0,1.08,1.08,0.0,2.05818e+11,63431000000.0,76845000000.0,8643000000.0,78601000000.0,15907000000.0,-9352000000.0,-4694000000.0
WMT,2013-01-31,False,FY,2013,10-K,4.66114e+11,27801000000.0,16999000000.0,5.04,5.02,1.59,2.03105e+11,59940000000.0,71818000000.0,7781000000.0,81738000000.0,25591000000.0,-12611000000.0,-11972000000.0
WMT,2013-04-30,False,Q1,2014,10-Q,1.13429e+11,6456000000.0,3784000000.0,1.15,1.14,1.88,2.02187e+11,60176000000.0,73552000000.0,8855000000.0,75841000000.0,4894000000.0,-2996000000.0,-741000000.0
WMT,2013-07-31,False,Q2,2014,10-Q,1.16216e+11,6793000000.0,4069000000.0,1.24,1.24,0.0,2.00969e+11,60002000000.0,72214000000.0,9016000000.0,76686000000.0,11251000000.0,-5796000000.0,-4117000000.0
WMT,2013-07-31,True,Q2,2014,10-Q,1.16216e+11,6793000000.0,4069000000.0,1.24,1.24,0.0,2.00969e+11,60002000000.0,72214000000.0,9016000000.0,76686000000.0,11251000000.0,-5796000000.0,-4117000000.0
WMT,2013-10-31,False,Q3,2014,10-Q,1.14876e+11,6310000000.0,3738000000.0,1.15,1.14,0.0,2.09876e+11,67142000000.0,77021000000.0,8736000000.0,78522000000.0,13320000000.0,-8942000000.0,-3235000000.0
WMT,2014-01-31,False,FY,2014,10-K,4.73076e+11,26872000000.0,16022000000.0,4.9,4.88,1.88,2.04751e+11,61185000000.0,69345000000.0,7281000000.0,81339000000.0,23257000000.0,-12298000000.0,-11017000000.0
WMT,2014-04-30,False,Q1,2015,10-Q,1.14167e+11,6193000000.0,3593000000.0,1.11,1.11,1.92,2.02746e+11,59687000000.0,67942000000.0,6012000000.0,78199000000.0,5939000000.0,-2121000000.0,-5177000000.0
WMT,2014-07-31,False,Q2,2015,10-Q,1.19336e+11,6740000000.0,4093000000.0,1.27,1.26,0.0,2.03985e+11,59632000000.0,67152000000.0,6184000000.0,82823000000.0,11900000000.0,-4340000000.0,-8755000000.0
