Date,Value
2008-09-27,888325973.0
2009-06-27,895735210.0
2009-09-26,899805500.0
2009-12-26,906282182.0
2010-03-27,909635811.0
2010-06-26,913482347.0
2010-09-25,915970050.0
2010-12-25,921035475.0
2011-03-26,924674079.0
2011-06-25,926903779.0
2011-09-24,929277000.0
2011-12-31,932214000.0
2012-03-31,934982000.0
2012-06-30,937266000.0
2012-09-29,939208000.0
2012-12-29,938973000.0
2013-03-30,940094000.0
2013-06-29,908442000.0
2013-09-28,6294494000.0
2013-12-28,892447000.0
2014-03-29,861745000.0
2014-06-28,5989171000.0
2014-09-27,5866161000.0
2014-12-27,5826419000.0
2015-03-28,5762278000.0
