Date,Value
2008-12-31,428000000.0
2009-06-30,432000000.0
2009-09-30,433000000.0
2009-12-31,444000000.0
2010-03-31,446000000.0
2010-06-30,448000000.0
2010-09-30,449000000.0
2010-12-31,451000000.0
2011-03-31,452000000.0
2011-06-30,454000000.0
2011-09-30,455000000.0
2011-12-31,455000000.0
2012-03-31,450000000.0
2012-06-30,452000000.0
2012-09-30,453000000.0
2012-12-31,454000000.0
2013-03-31,455000000.0
2013-06-30,457000000.0
2013-09-30,458000000.0
2013-12-31,459000000.0
2014-06-30,462000000.0
2014-09-30,463000000.0
2014-12-31,465000000.0
2015-03-31,466000000.0
