Date,Value
2007-12-31,1350219000.0
2008-12-31,1282025000.0
2009-06-30,1290130000.0
2009-09-30,1292774000.0
2009-12-31,1297799000.0
2010-03-31,1306855000.0
2010-06-30,1311921000.0
2010-09-30,1303517000.0
2010-12-31,1297710000.0
2011-03-31,1297655000.0
2011-06-30,1288414000.0
2011-09-30,1290645000.0
2011-12-31,1286487000.0
2012-03-31,1291000000.0
2012-06-30,1288000000.0
2012-09-30,1294000000.0
2012-12-31,1294000000.0
2013-03-31,1295000000.0
2013-06-30,1294000000.0
2013-09-30,1294000000.0
2013-12-31,1294000000.0
2014-06-30,1241000000.0
2014-09-30,1242000000.0
2014-12-31,1224000000.0
2015-03-31,1210000000.0
