symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
AAPL,2009-12-26,False,Q1,2010,10-Q,15683000000.0,4725000000.0,3378000000.0,3.74,3.67,0.0,53926000000.0,33332000000.0,13097000000.0,7609000000.0,35768000000.0,5781000000.0,-3958000000.0,523000000.0
AAPL,2015-12-26,False,Q1,2016,10-Q,75872000000.0,24171000000.0,18361000000.0,3.3,3.28,0.52,293284000000.0,76219000000.0,76092000000.0,16689000000.0,128267000000.0,27463000000.0,-20450000000.0,-11444000000.0
AAPL,2011-12-31,False,Q1,2012,10-Q,46333000000.0,17340000000.0,13064000000.0,14.03,13.87,0.0,138681000000.0,54771000000.0,34607000000.0,10310000000.0,90054000000.0,17554000000.0,-17128000000.0,69000000.0
AAPL,2010-03-27,False,Q2,2010,10-Q,13499000000.0,3979000000.0,3074000000.0,3.39,3.33,0.0,57057000000.0,32336000000.0,12229000000.0,10018000000.0,39348000000.0,8111000000.0,-4041000000.0,685000000.0
AAPL,2011-03-26,False,Q2,2011,10-Q,24667000000.0,7874000000.0,5987000000.0,6.49,6.4,0.0,94904000000.0,46997000000.0,24327000000.0,15978000000.0,61477000000.0,15992000000.0,-12251000000.0,976000000.0
AAPL,2011-09-24,False,FY,2011,10-K,108249000000.0,33790000000.0,25922000000.0,28.05,27.68,0.0,116371000000.0,44988000000.0,27970000000.0,9815000000.0,76615000000.0,37529000000.0,-40419000000.0,1444000000.0
AAPL,2010-06-26,False,Q3,2010,10-Q,15700000000.0,4234000000.0,3253000000.0,3.57,3.51,0.0,64725000000.0,36033000000.0,15612000000.0,9705000000.0,43111000000.0,12912000000.0,-9471000000.0,1001000000.0
AAPL,2011-06-25,False,Q3,2011,10-Q,28571000000.0,9379000000.0,7308000000.0,7.89,7.79,0.0,106758000000.0,46898000000.0,26859000000.0,12091000000.0,69343000000.0,27100000000.0,-27283000000.0,1013000000.0
AAPL,2012-12-29,False,Q1,2013,10-Q,54512000000.0,17210000000.0,13078000000.0,13.93,13.81,2.65,196088000000.0,72348000000.0,46879000000.0,16154000000.0,127346000000.0,23426000000.0,-13521000000.0,-4497000000.0
AAPL,2013-03-30,False,Q2,2013,10-Q,43603000000.0,12558000000.0,9547000000.0,10.16,10.09,2.65,194743000000.0,63337000000.0,35508000000.0,12053000000.0,135490000000.0,35930000000.0,-27878000000.0,-6745000000.0
