symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
GOOG/GOOGL,2015-09-30,False,Q3,2015,10-Q,18675000000.0,4708000000.0,3979000000.0,23.2,22.92,0.0,144281000000.0,88103000000.0,18457000000.0,18068000000.0,116241000000.0,19609000000.0,-18224000000.0,-1312000000.0
GOOG,2009-12-31,False,FY,2009,10-K,23650563000.0,8312186000.0,6520448000.0,20.62,20.41,0.0,40496778000.0,29166958000.0,2747467000.0,10197588000.0,36004224000.0,9316198000.0,-8019205000.0,233412000.0
GOOG,2010-03-31,False,Q1,2010,10-Q,6775000000.0,2488000000.0,1955000000.0,6.15,6.06,0.0,42871000000.0,31132000000.0,2922000000.0,9192000000.0,38283000000.0,2584000000.0,-3424000000.0,-123000000.0
GOOG,2010-06-30,False,Q2,2010,10-Q,6820000000.0,2365000000.0,1840000000.0,5.78,5.71,0.0,48045000000.0,35161000000.0,5747000000.0,10713000000.0,40613000000.0,4669000000.0,-3285000000.0,-769000000.0
GOOG,2010-09-30,False,Q3,2010,10-Q,7286000000.0,2547000000.0,2167000000.0,6.8,6.72,0.0,53342000000.0,39447000000.0,8530000000.0,11257000000.0,43290000000.0,7555000000.0,-7831000000.0,1298000000.0
GOOG,2011-03-31,False,Q1,2011,10-Q,8575000000.0,2296000000.0,1798000000.0,5.59,5.51,0.0,59960000000.0,43310000000.0,9332000000.0,12415000000.0,48851000000.0,3172000000.0,-4421000000.0,-111000000.0
GOOG,2011-06-30,False,Q2,2011,10-Q,9026000000.0,2881000000.0,2505000000.0,7.77,7.68,0.0,64861000000.0,46442000000.0,7798000000.0,10320000000.0,51991000000.0,6691000000.0,-11035000000.0,847000000.0
GOOG,2010-12-31,False,FY,2010,10-K,29321000000.0,10381000000.0,8505000000.0,26.69,26.31,0.0,57851000000.0,41562000000.0,9996000000.0,13630000000.0,46241000000.0,11081000000.0,-10680000000.0,3050000000.0
GOOG/GOOGL,2015-03-31,False,Q1,2015,10-Q,17258000000.0,4447000000.0,3586000000.0,5.27,5.2,0.0,133400000000.0,80313000000.0,14336000000.0,16976000000.0,108448000000.0,6617000000.0,-7304000000.0,-391000000.0
GOOG,2014-12-31,False,FY,2014,10-K,66001000000.0,16496000000.0,14444000000.0,21.37,21.02,0.0,131133000000.0,80685000000.0,16805000000.0,18347000000.0,104500000000.0,22376000000.0,-21055000000.0,-1439000000.0
GOOG/GOOGL,2014-09-30,False,Q3,2014,10-Q,16523000000.0,3724000000.0,2813000000.0,4.15,4.09,0.0,125781000000.0,80115000000.0,17920000000.0,15605000000.0,98815000000.0,16012000000.0,-17814000000.0,-1095000000.0
GOOG/GOOGL,2014-06-30,False,Q2,2014,10-Q,15955000000.0,4258000000.0,3422000000.0,5.07,4.99,0.0,121608000000.0,77905000000.0,17097000000.0,19620000000.0,95749000000.0,10018000000.0,-8487000000.0,-640000000.0
GOOG,2014-03-31,False,Q1,2014,10-Q,15420000000.0,4115000000.0,3452000000.0,5.13,5.04,0.0,116526000000.0,75314000000.0,16270000000.0,16639000000.0,91711000000.0,4391000000.0,-7307000000.0,822000000.0
