Date,Close,Adj Close
2016-02-01,11.48,11.37544
2016-02-02,11.33,11.226806
2016-02-03,11.42,11.315987
2016-02-04,11.45,11.345713
2016-02-05,11.2,11.09799
2016-02-08,10.9,10.800722
2016-02-09,10.62,10.523273
2016-02-10,10.65,10.552999
2016-02-11,10.53,10.53
2016-02-12,10.65,10.65
2016-02-16,10.83,10.83
2016-02-17,11.08,11.08
2016-02-18,11.07,11.07
2016-02-19,11.06,11.06
2016-02-22,11.07,11.07
2016-02-23,11.0,11.0
2016-02-24,11.0,11.0
2016-02-25,11.16,11.16
2016-02-26,11.22,11.22
2016-02-29,11.08,11.08
