Date,Close,Adj Close
2016-02-01,21.5,21.5
2016-02-02,21.79,21.79
2016-02-03,21.24,21.24
2016-02-04,21.265,21.265
2016-02-05,20.87,20.87
2016-02-08,20.82,20.82
2016-02-09,19.805,19.805
2016-02-10,19.42,19.42
2016-02-11,19.62,19.62
2016-02-12,19.48,19.48
2016-02-15,20.19,20.19
2016-02-16,20.39,20.39
2016-02-17,20.405,20.405
2016-02-18,20.795,20.795
2016-02-19,21.135,21.135
2016-02-22,21.45,21.45
2016-02-23,21.82,21.82
2016-02-24,21.4,21.4
2016-02-25,21.565,21.565
2016-02-26,21.835,21.835
2016-02-29,21.875,21.875
2016-03-01,21.815,21.815
2016-03-02,22.295,22.295
2016-03-03,21.755,21.755
2016-03-04,21.8,21.8
