Date,Close,Adj Close
2016-02-01,0.03,0.03
2016-02-02,0.025,0.025
2016-02-03,0.025,0.025
2016-02-04,0.025,0.025
2016-02-05,0.025,0.025
2016-02-08,0.025,0.025
2016-02-09,0.035,0.035
2016-02-10,0.03,0.03
2016-02-11,0.035,0.035
2016-02-12,0.045,0.045
2016-02-15,0.045,0.045
2016-02-16,0.04,0.04
2016-02-17,0.055,0.055
2016-02-18,0.05,0.05
2016-02-19,0.06,0.06
2016-02-22,0.06,0.06
2016-02-23,0.045,0.045
2016-02-24,0.06,0.06
2016-02-25,0.06,0.06
2016-02-26,0.055,0.055
2016-02-29,0.05,0.05
2016-03-01,0.06,0.06
2016-03-02,0.06,0.06
2016-03-03,0.065,0.065
2016-03-04,0.06,0.06
