Date,Close,Adj Close
2009-01-02,2.46,2.118406
2009-01-05,2.58,2.221743
2009-01-06,2.76,2.376748
2009-01-07,2.69,2.316469
2009-01-08,2.69,2.316469
2009-01-09,2.63,2.2648
2009-01-12,2.64,2.273412
2009-01-13,2.48,2.135629
2009-01-14,2.26,1.946178
2009-01-15,2.23,1.920344
2009-01-16,2.19,1.885898
2009-01-20,2.13,1.83423
2009-01-21,2.09,1.799784
2009-01-22,1.94,1.670613
2009-01-23,1.8,1.550053
2009-01-26,1.94,1.670613
2009-01-27,1.97,1.696447
2009-01-28,2.03,1.748116
2009-01-29,1.95,1.679224
2009-01-30,1.87,1.610333
2009-02-02,1.88,1.618945
2009-02-03,1.96,1.687836
2009-02-04,1.95,1.679224
2009-02-05,1.93,1.662002
2009-02-06,1.94,1.670613
2009-02-09,1.9,1.636167
2009-02-10,1.82,1.567276
2009-02-11,1.85,1.59311
2009-02-12,1.79,1.541442
2009-02-13,1.76,1.515608
2009-02-17,1.69,1.455328
2009-02-18,1.67,1.438105
2009-02-19,1.63,1.403659
2009-02-20,1.58,1.360602
2009-02-23,1.73,1.489773
2009-02-24,2.0,1.722281
2009-02-25,2.01,1.730893
2009-02-26,1.98,1.705059
2009-02-27,2.0,1.722281
2009-03-02,1.88,1.618945
2009-03-03,1.81,1.558665
2009-03-04,1.87,1.610333
2009-03-05,1.81,1.558665
2009-03-06,1.7,1.463939
2009-03-09,1.74,1.498385
2009-03-10,1.85,1.59311
2009-03-11,1.96,1.687836
2009-03-12,2.1,1.808395
2009-03-13,2.19,1.885898
2009-03-16,2.1,1.808395
2009-03-17,2.28,1.963401
2009-03-18,2.47,2.127018
2009-03-19,2.51,2.161463
2009-03-20,2.75,2.368137
2009-03-23,2.9,2.497308
2009-03-24,2.86,2.462862
2009-03-25,2.77,2.38536
2009-03-26,2.94,2.531754
2009-03-27,2.84,2.44564
2009-03-30,2.76,2.376748
2009-03-31,2.63,2.2648
2009-04-01,2.74,2.359526
2009-04-02,2.91,2.50592
2009-04-03,3.25,2.798707
2009-04-06,3.77,3.246501
2009-04-07,3.49,3.005381
2009-04-08,3.95,3.401506
2009-04-09,4.24,3.651236
2009-04-13,4.26,3.66846
2009-04-14,4.3,3.702905
2009-04-15,4.04,3.479009
2009-04-16,4.16,3.582345
2009-04-17,4.0,3.444563
2009-04-20,3.69,3.177609
2009-04-21,3.8,3.272335
2009-04-22,4.28,3.685682
2009-04-23,4.49,3.866522
2009-04-24,5.0,4.305704
2009-04-27,5.11,4.400429
2009-04-28,5.19,4.46932
2009-04-29,5.45,4.693217
2009-04-30,5.98,5.149622
2009-05-01,5.69,4.899891
2009-05-04,5.88,5.063508
2009-05-05,5.85,5.037673
2009-05-06,6.26,5.390741
2009-05-07,6.06,5.218513
2009-05-08,6.24,5.373518
2009-05-11,6.08,5.235736
2009-05-12,5.01,4.314315
2009-05-13,4.96,4.271258
2009-05-14,5.16,4.443486
2009-05-15,5.49,4.727662
2009-05-18,5.5,4.736274
2009-05-19,5.63,4.848222
2009-05-20,5.41,4.658771
2009-05-21,5.33,4.58988
2009-05-22,5.26,4.5296
2009-05-26,5.4,4.65016
2009-05-27,5.34,4.598492
2009-05-28,5.56,4.787942
2009-05-29,5.75,4.951559
2009-06-01,6.13,5.278793
2009-06-02,6.41,5.519912
2009-06-03,6.18,5.32185
2009-06-04,6.36,5.476855
2009-06-05,6.36,5.476855
2009-06-08,6.38,5.494078
2009-06-09,6.26,5.390741
2009-06-10,6.19,5.330461
2009-06-11,5.98,5.149622
2009-06-12,6.11,5.26157
2009-06-15,5.93,5.106564
2009-06-16,5.67,4.882668
2009-06-17,5.71,4.917114
2009-06-18,5.68,4.891279
2009-06-19,5.72,4.925725
2009-06-22,5.38,4.632937
2009-06-23,5.53,4.762108
2009-06-24,5.63,4.848222
2009-06-25,5.68,4.891279
2009-06-26,5.61,4.831
2009-06-29,5.78,4.977394
2009-06-30,6.07,5.227124
2009-07-01,5.91,5.089342
2009-07-02,5.89,5.072119
2009-07-06,5.75,4.951559
2009-07-07,5.53,4.762108
2009-07-08,5.35,4.607103
2009-07-09,5.63,4.848222
2009-07-10,5.72,4.925725
2009-07-13,5.69,4.899891
2009-07-14,5.84,5.029062
2009-07-15,6.05,5.209902
2009-07-16,6.13,5.278793
2009-07-17,6.14,5.287404
2009-07-20,6.19,5.330461
2009-07-21,6.2,5.339072
2009-07-22,6.38,5.494078
2009-07-23,6.98,6.010762
2009-07-24,6.78,5.838534
2009-07-27,7.27,6.260493
2009-07-28,7.14,6.148545
2009-07-29,7.12,6.131322
2009-07-30,7.39,6.36383
2009-07-31,8.0,6.889126
2009-08-03,8.33,7.173302
2009-08-04,8.3,7.147468
2009-08-05,8.44,7.268027
2009-08-06,8.07,6.949405
2009-08-07,8.01,6.897737
2009-08-10,7.72,6.648006
2009-08-11,7.81,6.725509
2009-08-12,7.7,6.630783
2009-08-13,7.9,6.803012
2009-08-14,7.83,6.742732
2009-08-17,7.37,6.346607
2009-08-18,7.64,6.579115
2009-08-19,7.65,6.587727
2009-08-20,7.68,6.613561
2009-08-21,7.74,6.665229
2009-08-24,7.41,6.381053
2009-08-25,7.59,6.536058
2009-08-26,7.61,6.553281
2009-08-27,7.67,6.604949
2009-08-28,7.73,6.656618
2009-08-31,7.6,6.544669
2009-09-01,7.24,6.234659
2009-09-02,7.03,6.053819
2009-09-03,7.48,6.441333
2009-09-04,7.43,6.398275
2009-09-08,7.3,6.286327
2009-09-09,7.39,6.36383
2009-09-10,7.44,6.406887
2009-09-11,7.33,6.312161
2009-09-14,7.39,6.36383
2009-09-15,7.2,6.200213
2009-09-16,7.15,6.157156
2009-09-17,6.92,5.959094
2009-09-18,6.94,5.976317
2009-09-21,6.83,5.881591
2009-09-22,7.01,6.036597
2009-09-23,7.36,6.337996
2009-09-24,7.33,6.312161
2009-09-25,7.29,6.277716
2009-09-28,7.49,6.449944
2009-09-29,7.45,6.415498
2009-09-30,7.21,6.208825
2009-10-01,6.97,6.002151
2009-10-02,6.84,5.890203
2009-10-05,7.05,6.071042
2009-10-06,7.14,6.148545
2009-10-07,7.13,6.139933
2009-10-08,7.18,6.18299
2009-10-09,7.12,6.131322
2009-10-12,7.62,6.561892
2009-10-13,7.62,6.561892
2009-10-14,7.66,6.596338
2009-10-15,7.66,6.596338
2009-10-16,7.42,6.389664
2009-10-19,7.57,6.518835
2009-10-20,7.71,6.639395
2009-10-21,7.78,6.699675
2009-10-22,7.76,6.682452
2009-10-23,7.63,6.570504
2009-10-26,7.47,6.432721
2009-10-27,7.33,6.312161
2009-10-28,6.96,5.993539
2009-10-29,7.3,6.286327
2009-10-30,7.0,6.027985
2009-11-02,7.58,6.527447
2009-11-03,7.44,6.406887
2009-11-04,7.27,6.260493
2009-11-05,7.45,6.415498
2009-11-06,7.75,6.673841
2009-11-09,8.18,7.044131
2009-11-10,8.24,7.095799
2009-11-11,8.33,7.173302
2009-11-12,8.2,7.061354
2009-11-13,8.41,7.242193
2009-11-16,8.71,7.500536
2009-11-17,8.98,7.733043
2009-11-18,8.94,7.698598
2009-11-19,8.73,7.517758
2009-11-20,8.64,7.440256
2009-11-23,8.73,7.517758
2009-11-24,8.81,7.58665
2009-11-25,8.81,7.58665
2009-11-27,8.73,7.517758
2009-11-30,8.89,7.655541
2009-12-01,8.88,7.64693
2009-12-02,9.01,7.758878
2009-12-03,8.94,7.698598
2009-12-04,8.94,7.698598
2009-12-07,8.91,7.672764
2009-12-08,8.82,7.595261
2009-12-09,8.86,7.629707
2009-12-10,9.05,7.793324
2009-12-11,9.0,7.750267
2009-12-14,9.08,7.819158
2009-12-15,9.39,8.086112
2009-12-16,9.49,8.172225
2009-12-17,9.39,8.086112
2009-12-18,9.68,8.335843
2009-12-21,9.67,8.327231
2009-12-22,9.9,8.525293
2009-12-23,10.08,8.680298
2009-12-24,10.13,8.723356
2009-12-28,10.2,8.783635
2009-12-29,10.11,8.706132
2009-12-30,9.99,8.602796
2009-12-31,10.0,8.611407
2010-01-04,10.28,8.852526
2010-01-05,10.96,9.438102
2010-01-06,11.37,9.79117
2010-01-07,11.66,10.040901
2010-01-08,11.69,10.066735
2010-01-11,12.11,10.428414
2010-01-12,11.87,10.22174
2010-01-13,11.68,10.058124
2010-01-14,11.76,10.127015
2010-01-15,11.6,9.989233
2010-01-19,11.75,10.118404
2010-01-20,11.51,9.91173
2010-01-21,11.18,9.627554
2010-01-22,10.52,9.059201
2010-01-25,11.03,9.498382
2010-01-26,11.19,9.636164
2010-01-27,11.55,9.946176
2010-01-28,11.41,9.825616
2010-01-29,10.84,9.334766
2010-02-01,11.12,9.575885
2010-02-02,11.39,9.808393
2010-02-03,11.64,10.023678
2010-02-04,11.06,9.524217
2010-02-05,10.91,9.395045
2010-02-08,10.97,9.446714
2010-02-09,11.15,9.601719
