Date,Close,Adj Close
2009-01-02,9.62,9.62
2009-01-05,10.03,10.03
2009-01-06,10.53,10.53
2009-01-07,10.51,10.51
2009-01-08,9.95,9.95
2009-01-09,9.8,9.8
2009-01-12,9.86,9.86
2009-01-13,9.93,9.93
2009-01-14,9.98,9.98
2009-01-15,9.9,9.9
2009-01-16,10.1,10.1
2009-01-19,10.15,10.15
2009-01-20,10.4,10.4
2009-01-21,9.82,9.82
2009-01-22,10.0,10.0
2009-01-23,9.97,9.97
2009-01-26,10.22,10.22
2009-01-27,10.03,10.03
2009-01-28,10.13,10.13
2009-01-29,10.2,10.2
2009-01-30,10.23,10.23
2009-02-02,9.64,9.64
2009-02-03,9.49,9.49
2009-02-04,9.28,9.28
2009-02-05,9.66,9.66
2009-02-06,9.97,9.97
2009-02-09,10.2,10.2
2009-02-10,10.27,10.27
2009-02-11,9.95,9.95
2009-02-12,9.92,9.92
2009-02-13,9.92,9.92
2009-02-16,9.94,9.94
2009-02-17,10.05,10.05
2009-02-18,9.74,9.74
2009-02-19,9.79,9.79
2009-02-20,9.45,9.45
2009-11-09,12.65,12.65
2009-11-11,12.31,12.31
2009-12-04,10.88,10.88
2009-12-07,11.48,11.48
2009-12-15,11.4,11.4
2009-12-28,12.31,12.31
2010-01-04,11.95,11.95
2010-01-06,11.525,11.525
2010-01-07,11.855,11.855
2010-01-08,11.71,11.71
2010-01-14,11.56,11.56
2010-01-15,11.73,11.73
2010-01-19,11.65,11.65
2010-01-29,12.08,12.08
2010-02-01,11.88,11.88
2010-02-02,11.61,11.61
2010-02-03,12.2,12.2
2010-02-04,12.4,12.4
2010-02-05,12.46,12.46
2010-02-08,12.14,12.14
2010-02-09,12.04,12.04
2010-02-10,11.92,11.92
2010-02-11,12.06,12.06
2010-02-12,12.06,12.06
2010-02-15,12.35,12.35
2010-02-16,12.51,12.51
2010-02-17,12.47,12.47
2010-02-18,12.58,12.58
2010-02-19,13.54,13.54
2010-02-22,13.2,13.2
2010-02-23,12.7,12.7
2010-02-24,12.88,12.88
2010-02-25,12.82,12.82
