Date,Close,Adj Close
2009-01-02,7.79,3.895
2009-01-05,8.26,4.13
2009-01-06,8.26,4.13
2009-01-07,8.17,4.085
2009-01-08,7.99,3.995
2009-01-09,7.59,3.795
2009-01-12,7.08,3.54
2009-01-13,6.73,3.365
2009-01-14,6.22,3.11
2009-01-15,7.03,3.515
2009-01-16,6.9,3.45
2009-01-20,6.63,3.315
2009-01-21,6.79,3.395
2009-01-22,7.21,3.605
2009-01-23,7.22,3.61
2009-01-26,6.98,3.49
2009-01-27,7.03,3.515
2009-01-28,7.36,3.68
2009-01-29,6.76,3.38
2009-01-30,6.8,3.4
2009-02-02,6.64,3.32
2009-02-03,7.11,3.555
2009-02-04,7.35,3.675
2009-02-05,7.51,3.755
2009-02-06,7.82,3.91
2009-02-09,7.67,3.835
2009-02-10,7.05,3.525
2009-02-11,6.9,3.45
2009-02-12,6.58,3.29
2009-02-13,6.46,3.23
2009-02-17,5.99,2.995
2009-02-18,6.26,3.13
2009-02-19,6.0,3.0
2009-02-20,5.46,2.73
2009-02-23,5.59,2.795
2009-02-24,5.79,2.895
2009-02-25,5.56,2.78
2009-02-26,5.49,2.745
2009-02-27,5.72,2.86
2009-03-02,5.19,2.595
2009-03-03,4.85,2.425
2009-03-04,5.24,2.62
2009-03-05,4.93,2.465
2009-03-06,4.5,2.25
2009-03-09,4.49,2.245
2009-03-10,5.03,2.515
2009-03-11,5.37,2.685
2009-03-12,6.2,3.1
2009-03-13,6.36,3.18
2009-03-16,6.01,3.005
2009-03-17,5.95,2.975
2009-03-18,6.48,3.24
2009-03-19,6.76,3.38
2009-03-20,6.42,3.21
2009-03-23,6.37,3.185
2009-03-24,6.53,3.265
2009-03-25,6.66,3.33
2009-03-26,7.67,3.835
2009-03-27,8.37,4.185
2009-03-30,8.28,4.14
2009-03-31,8.66,4.33
2009-04-01,9.33,4.665
2009-04-02,10.03,5.015
2009-04-03,10.2,5.1
2009-04-06,9.87,4.935
2009-04-07,9.11,4.555
2009-04-08,9.73,4.865
2009-04-09,10.84,5.42
2009-04-13,11.79,5.895
2009-04-14,12.4,6.2
2009-04-15,12.33,6.165
2009-04-16,13.18,6.59
2009-04-17,14.26,7.13
2009-04-20,12.48,6.24
2009-04-21,13.59,6.795
2009-04-22,13.53,6.765
2009-04-23,13.69,6.845
2009-04-24,14.35,7.175
2009-04-27,14.25,7.125
2009-04-28,14.45,7.225
2009-04-29,14.47,7.235
2009-04-30,13.95,6.975
2009-05-01,14.05,7.025
