Date,Close,Adj Close
2015-11-19,13.07,13.07
2015-11-20,12.85,12.85
2015-11-23,12.12,12.12
2015-11-24,12.02,12.02
2015-11-25,11.9,11.9
2015-11-27,12.05,12.05
2015-11-30,12.04,12.04
2015-12-01,11.91,11.91
2015-12-02,11.93,11.93
2015-12-03,11.92,11.92
2015-12-04,12.04,12.04
2015-12-07,12.36,12.36
2015-12-08,12.12,12.12
2015-12-09,11.99,11.99
2015-12-10,12.05,12.05
2015-12-11,11.95,11.95
2015-12-14,12.33,12.33
2015-12-15,12.47,12.47
2015-12-16,12.27,12.27
2015-12-17,12.32,12.32
2015-12-18,12.34,12.34
2015-12-21,12.24,12.24
2015-12-22,12.46,12.46
2015-12-23,12.5,12.5
2015-12-24,12.6,12.6
2015-12-28,12.83,12.83
2015-12-29,12.74,12.74
2015-12-30,12.78,12.78
2015-12-31,13.09,13.09
2016-01-04,12.16,12.16
2016-01-05,11.51,11.51
2016-01-06,11.52,11.52
2016-01-07,11.16,11.16
2016-01-08,11.31,11.31
2016-01-11,11.84,11.84
2016-01-12,12.09,12.09
2016-01-13,11.61,11.61
2016-01-14,10.82,10.82
2016-01-15,10.27,10.27
2016-01-19,9.47,9.47
2016-01-20,9.49,9.49
2016-01-21,10.02,10.02
2016-01-22,9.85,9.85
2016-01-25,9.81,9.81
2016-01-26,9.54,9.54
2016-01-27,9.05,9.05
2016-01-28,8.74,8.74
2016-01-29,8.77,8.77
